0	2.26E+01	0.00E+00
0.5	2.68E+01	0.00E+00
1	3.09E+01	0.00E+00
1.5	3.51E+01	0.00E+00
2	3.92E+01	0.00E+00
2.5	4.33E+01	0.00E+00
3	4.73E+01	0.00E+00
3.5	5.14E+01	0.00E+00
4	5.54E+01	0.00E+00
4.5	5.93E+01	0.00E+00
5	6.33E+01	0.00E+00
5.5	6.72E+01	0.00E+00
6	7.11E+01	0.00E+00
6.5	7.49E+01	0.00E+00
7	7.88E+01	0.00E+00
7.5	8.26E+01	0.00E+00
8	8.64E+01	0.00E+00
8.5	9.01E+01	0.00E+00
9	9.38E+01	0.00E+00
9.5	9.75E+01	0.00E+00
10	1.01E+02	0.00E+00
10.5	1.05E+02	0.00E+00
11	1.08E+02	0.00E+00
11.5	1.12E+02	0.00E+00
12	1.16E+02	0.00E+00
12.5	1.19E+02	0.00E+00
13	1.23E+02	0.00E+00
13.5	1.26E+02	0.00E+00
14	1.30E+02	0.00E+00
14.5	1.33E+02	0.00E+00
15	1.36E+02	0.00E+00
15.5	1.40E+02	0.00E+00
16	1.43E+02	0.00E+00
16.5	1.46E+02	0.00E+00
17	1.50E+02	0.00E+00
17.5	1.53E+02	0.00E+00
18	1.56E+02	0.00E+00
18.5	1.59E+02	0.00E+00
19	1.62E+02	0.00E+00
19.5	1.66E+02	0.00E+00
20	1.69E+02	0.00E+00
20.5	1.72E+02	0.00E+00
21	1.75E+02	0.00E+00
21.5	1.78E+02	0.00E+00
22	1.81E+02	0.00E+00
22.5	1.84E+02	0.00E+00
23	1.87E+02	0.00E+00
23.5	1.90E+02	0.00E+00
24	1.93E+02	0.00E+00
24.5	1.95E+02	0.00E+00
25	1.98E+02	0.00E+00
25.5	2.01E+02	0.00E+00
26	2.04E+02	0.00E+00
26.5	2.07E+02	0.00E+00
27	2.09E+02	0.00E+00
27.5	2.12E+02	0.00E+00
28	2.15E+02	0.00E+00
28.5	2.17E+02	0.00E+00
29	2.20E+02	0.00E+00
29.5	2.22E+02	0.00E+00
30	2.25E+02	0.00E+00
